date,source,production_m3,service_hours,country,production_m3_per_hour
2020-01-01,Ndindan Reservoir,26188,21.72920506,Cameroon,1205.198254
2020-01-02,Ndindan Reservoir,21170,20.43071162,Cameroon,1036.185151
2020-01-03,Ndindan Reservoir,39209,23.86131126,Cameroon,1643.203912
2020-01-04,Ndindan Reservoir,25499,20.3702401,Cameroon,1251.777096
2020-01-05,Ndindan Reservoir,21803,23.08146496,Cameroon,944.6107533
2020-01-06,Mvog-Betsi River,16366,20.54351609,Cameroon,796.650385
2020-01-07,Mvog-Betsi River,23088,20.48922441,Cameroon,1126.836211
2020-01-08,Mvog-Betsi River,25527,23.70274385,Cameroon,1076.963923
2020-01-09,Mvog-Betsi River,24843,22.06278186,Cameroon,1126.013943
2020-01-10,Ndindan Reservoir,21832,20.57811514,Cameroon,1060.932931
2020-01-11,Ndindan Reservoir,22063,23.19295155,Cameroon,951.2803903
2020-01-12,Ndindan Reservoir,27857,23.80441483,Cameroon,1170.245108
2020-01-13,Ndindan Reservoir,24707,21.20822249,Cameroon,1164.97269
2020-01-14,Mvog-Betsi River,23918,20.53472719,Cameroon,1164.758595
2020-01-15,Ndindan Reservoir,20715,22.97340748,Cameroon,901.6947101
2020-01-16,Ndindan Reservoir,21487,22.10187308,Cameroon,972.1800467
2020-01-17,Mvog-Betsi River,20652,23.16103719,Cameroon,891.6699121
2020-01-18,Ndindan Reservoir,23126,23.12285162,Cameroon,1000.136159
2020-01-19,Mvog-Betsi River,23469,23.37376923,Cameroon,1004.074258
2020-01-20,Ndindan Reservoir,22831,22.70347758,Cameroon,1005.616867
2020-01-21,Ndindan Reservoir,20388,22.61848153,Cameroon,901.3867696
2020-01-22,Ndindan Reservoir,20600,20.04706061,Cameroon,1027.582068
2020-01-23,Ndindan Reservoir,21019,23.6421896,Cameroon,889.0462496
2020-01-24,Mvog-Betsi River,22216,22.98502806,Cameroon,966.5422181
2020-01-25,Ndindan Reservoir,22611,20.49509535,Cameroon,1103.239561
