country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
cameroon,Yaounde,Jan 2020,159,756,634,115,670000000.0,540849679,12741000000.0,306,538,141899
cameroon,Yaounde,Feb 2020,159,466,399,108,680000000.0,557247509,18790000000.0,347,473,134412
cameroon,Yaounde,Mar 2020,159,622,528,100,617000000.0,519471394,16889000000.0,305,484,218679
cameroon,Yaounde,Apr 2020,159,734,671,112,604000000.0,507728739,21220000000.0,366,535,89807
cameroon,Yaounde,May 2020,159,323,322,91,594000000.0,514747374,16617000000.0,525,364,77991
cameroon,Yaounde,Jun 2020,159,536,514,96,618000000.0,523780706,20111000000.0,311,368,194345
cameroon,Yaounde,Jul 2020,159,602,573,108,715000000.0,668433196,12799000000.0,381,438,250629
cameroon,Yaounde,Aug 2020,159,602,518,97,664000000.0,549440814,21427000000.0,312,521,240379
cameroon,Yaounde,Sep 2020,159,292,273,130,661000000.0,567503649,20236000000.0,458,495,182467
cameroon,Yaounde,Oct 2020,159,763,710,80,659000000.0,603536017,12653000000.0,533,539,169779
cameroon,Yaounde,Nov 2020,159,698,646,86,581000000.0,509462471,12022000000.0,334,305,133425
cameroon,Yaounde,Dec 2020,159,645,595,84,647000000.0,528042237,15532000000.0,466,438,111596
cameroon,Yaounde,Jan 2021,167,404,366,87,743000000.0,661491600,18478000000.0,372,531,76693
cameroon,Yaounde,Feb 2021,167,451,415,130,557000000.0,473313161,21887000000.0,346,511,224247
cameroon,Yaounde,Mar 2021,167,234,234,100,638000000.0,603758254,14965000000.0,304,516,79544
cameroon,Yaounde,Apr 2021,167,782,677,89,614000000.0,516325837,14965000000.0,317,322,201321
cameroon,Yaounde,May 2021,167,612,493,129,675000000.0,607476829,21861000000.0,316,504,234543
cameroon,Yaounde,Jun 2021,167,326,318,88,554000000.0,466688578,13294000000.0,599,468,175711
cameroon,Yaounde,Jul 2021,167,407,358,98,742000000.0,648231652,18465000000.0,491,437,101217
cameroon,Yaounde,Aug 2021,167,790,699,113,561000000.0,514718817,14933000000.0,395,507,209149
cameroon,Yaounde,Sep 2021,167,327,265,90,725000000.0,663179042,21520000000.0,457,396,159146
cameroon,Yaounde,Oct 2021,167,508,424,117,605000000.0,555430466,21192000000.0,376,312,79914
cameroon,Yaounde,Nov 2021,167,545,491,98,578000000.0,539680206,17088000000.0,415,342,216161
cameroon,Yaounde,Dec 2021,167,286,267,81,734000000.0,683125598,13771000000.0,397,402,163095
cameroon,Yaounde,Jan 2022,167,524,428,98,712000000.0,581175922,12325000000.0,408,494,239368
