country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
lesotho,Maseru,Jan 2020,169,185,181,106,540000000.0,496096365,14226000000.0,222,272,15818
lesotho,Maseru,Feb 2020,169,228,217,80,422000000.0,351387207,15727000000.0,242,215,26151
lesotho,Maseru,Mar 2020,169,249,240,51,519000000.0,430056835,8578000000.0,224,233,8413
lesotho,Maseru,Apr 2020,169,437,420,82,471000000.0,445291533,14759000000.0,280,176,24207
lesotho,Maseru,May 2020,169,378,329,105,350000000.0,273943838,15160000000.0,275,288,15569
lesotho,Maseru,Jun 2020,169,215,214,107,410000000.0,362442562,14156000000.0,239,190,10409
lesotho,Maseru,Jul 2020,169,183,175,77,381000000.0,316986011,8100000000.0,214,281,15159
lesotho,Maseru,Aug 2020,169,323,281,78,358000000.0,284295364,14648000000.0,292,268,20394
lesotho,Maseru,Sep 2020,169,241,208,52,403000000.0,317259527,11767000000.0,261,154,17351
lesotho,Maseru,Oct 2020,169,266,241,82,498000000.0,471076426,14075000000.0,227,211,12603
lesotho,Maseru,Nov 2020,169,427,407,88,412000000.0,312378044,11322000000.0,300,179,31160
lesotho,Maseru,Dec 2020,169,641,620,63,361000000.0,287568636,12421000000.0,236,290,19929
lesotho,Maseru,Jan 2021,111,537,471,30,456000000.0,389199275,8203000000.0,274,196,18020
lesotho,Maseru,Feb 2021,111,592,581,50,433000000.0,349355409,8046000000.0,200,204,11491
lesotho,Maseru,Mar 2021,111,630,595,30,545000000.0,516893943,12143000000.0,267,278,21061
lesotho,Maseru,Apr 2021,111,336,327,105,542000000.0,425581652,8743000000.0,229,262,19548
lesotho,Maseru,May 2021,111,206,178,97,370000000.0,295736514,14645000000.0,222,220,26615
lesotho,Maseru,Jun 2021,111,340,337,54,417000000.0,360967848,14527000000.0,212,199,29999
lesotho,Maseru,Jul 2021,111,588,506,110,421000000.0,328183829,9989000000.0,254,166,12165
lesotho,Maseru,Aug 2021,111,394,341,74,476000000.0,402320588,11740000000.0,240,231,23059
