country,city,date,sewer_length,complaints,resolved,blocks,sewer_billed,sewer_revenue,opex,san_staff,w_staff,propoor_popn
malawi,Lilongwe,Jan 2020,166,386,356,125,452000000.0,378106953,13916000000.0,205,229,62626
malawi,Lilongwe,Feb 2020,166,370,333,143,494000000.0,400707523,9741000000.0,297,282,70505
malawi,Lilongwe,Mar 2020,166,541,468,143,582000000.0,480502633,15232000000.0,281,260,64717
malawi,Lilongwe,Apr 2020,166,464,448,140,616000000.0,436369903,13148000000.0,356,306,112154
malawi,Lilongwe,May 2020,166,365,358,116,553000000.0,449559013,15813000000.0,282,279,34583
malawi,Lilongwe,Jun 2020,166,527,468,109,569000000.0,433807865,12648000000.0,252,339,110533
malawi,Lilongwe,Jul 2020,166,430,415,127,575000000.0,496036039,13054000000.0,312,323,97601
malawi,Lilongwe,Aug 2020,166,610,455,143,614000000.0,493677475,11843000000.0,359,353,102260
malawi,Lilongwe,Sep 2020,166,586,583,148,594000000.0,479537455,9854000000.0,291,366,39963
malawi,Lilongwe,Oct 2020,166,422,344,146,634000000.0,528091791,13754000000.0,365,331,56583
malawi,Lilongwe,Nov 2020,166,569,414,138,632000000.0,466823533,15988000000.0,222,331,87035
malawi,Lilongwe,Dec 2020,166,402,368,109,543000000.0,423416855,11986000000.0,369,340,84739
malawi,Lilongwe,Jan 2021,197,580,526,121,504000000.0,355354831,8257000000.0,365,359,30839
malawi,Lilongwe,Feb 2021,197,437,367,146,601000000.0,511744444,11140000000.0,253,281,103152
malawi,Lilongwe,Mar 2021,197,426,394,128,556000000.0,391714473,13274000000.0,353,334,91217
malawi,Lilongwe,Apr 2021,197,376,299,135,563000000.0,520732871,12717000000.0,371,288,37270
malawi,Lilongwe,May 2021,197,429,352,133,533000000.0,392898234,10361000000.0,276,269,108617
malawi,Lilongwe,Jun 2021,197,513,511,125,525000000.0,459661993,13095000000.0,251,265,33704
malawi,Lilongwe,Jul 2021,197,336,290,143,625000000.0,545843162,11265000000.0,351,354,84943
malawi,Lilongwe,Aug 2021,197,607,562,116,550000000.0,396082917,14580000000.0,232,236,26158
malawi,Lilongwe,Sep 2021,197,638,580,132,517000000.0,469804187,11342000000.0,274,347,88241
malawi,Lilongwe,Oct 2021,197,621,537,131,622000000.0,466616391,9228000000.0,376,369,83917
malawi,Lilongwe,Nov 2021,197,395,322,115,630000000.0,569602015,13225000000.0,206,376,111648
malawi,Lilongwe,Dec 2021,197,514,413,118,620000000.0,478910169,12041000000.0,265,204,62712
malawi,Lilongwe,Jan 2022,156,524,424,148,563000000.0,483633895,10274000000.0,280,313,74507
malawi,Lilongwe,Feb 2022,156,662,519,120,640000000.0,578876553,11459000000.0,244,356,70700
malawi,Lilongwe,Mar 2022,156,490,484,132,584000000.0,547022614,8225000000.0,304,358,115995
malawi,Lilongwe,Apr 2022,156,613,477,146,552000000.0,436351222,9059000000.0,260,386,24510
malawi,Lilongwe,May 2022,156,471,402,121,585000000.0,477611462,15085000000.0,383,397,35913
malawi,Lilongwe,Jun 2022,156,529,481,126,593000000.0,493081999,9830000000.0,243,357,82623
malawi,Lilongwe,Jul 2022,156,476,430,142,480000000.0,341913334,8166000000.0,250,257,96435
malawi,Lilongwe,Aug 2022,156,452,450,116,644000000.0,460319302,13735000000.0,240,316,24870
malawi,Lilongwe,Sep 2022,156,357,285,147,483000000.0,377845046,10611000000.0,229,390,27663
malawi,Lilongwe,Oct 2022,156,623,534,118,640000000.0,589432161,13894000000.0,221,272,96174
malawi,Lilongwe,Nov 2022,156,609,429,148,639000000.0,460561414,8140000000.0,308,228,26455
malawi,Lilongwe,Dec 2022,156,577,440,125,466000000.0,338065778,13422000000.0,312,240,25691
malawi,Lilongwe,Jan 2023,171,645,469,100,509000000.0,406690499,9111000000.0,333,358,89289
malawi,Lilongwe,Feb 2023,171,597,498,117,475000000.0,422063325,14088000000.0,252,366,28936
